datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,10364.707,True
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,10291.858,True
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,10252.082,True
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,SERC,SOUTH,DOM,DOM,10303.804,True
1/1/2020 9:00:00 AM,1/1/2020 4:00:00 AM,SERC,SOUTH,DOM,DOM,10588.920,True
1/1/2020 10:00:00 AM,1/1/2020 5:00:00 AM,SERC,SOUTH,DOM,DOM,10980.540,True
1/1/2020 11:00:00 AM,1/1/2020 6:00:00 AM,SERC,SOUTH,DOM,DOM,11473.091,True
1/1/2020 12:00:00 PM,1/1/2020 7:00:00 AM,SERC,SOUTH,DOM,DOM,11781.495,True
1/1/2020 1:00:00 PM,1/1/2020 8:00:00 AM,SERC,SOUTH,DOM,DOM,11642.490,True
1/1/2020 2:00:00 PM,1/1/2020 9:00:00 AM,SERC,SOUTH,DOM,DOM,11192.296,True
1/1/2020 3:00:00 PM,1/1/2020 10:00:00 AM,SERC,SOUTH,DOM,DOM,10787.617,True
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,SERC,SOUTH,DOM,DOM,10513.346,True
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,SERC,SOUTH,DOM,DOM,10297.165,True
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,SERC,SOUTH,DOM,DOM,9978.802,True
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,SERC,SOUTH,DOM,DOM,9954.554,True
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,SERC,SOUTH,DOM,DOM,10124.913,True
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,SERC,SOUTH,DOM,DOM,10693.591,True
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,SERC,SOUTH,DOM,DOM,11755.730,True
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,SERC,SOUTH,DOM,DOM,12080.328,True
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,SERC,SOUTH,DOM,DOM,12123.622,True
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,SERC,SOUTH,DOM,DOM,12101.665,True
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,SERC,SOUTH,DOM,DOM,11898.805,True
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,SERC,SOUTH,DOM,DOM,11559.075,True
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,SERC,SOUTH,DOM,DOM,11198.556,True
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,11023.215,True
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,10989.120,True
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,11086.064,True
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,SERC,SOUTH,DOM,DOM,11307.510,True
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,SERC,SOUTH,DOM,DOM,11813.267,True
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,SERC,SOUTH,DOM,DOM,12645.826,True
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,SERC,SOUTH,DOM,DOM,13644.174,True
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,SERC,SOUTH,DOM,DOM,14108.022,True
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,SERC,SOUTH,DOM,DOM,13759.080,True
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,SERC,SOUTH,DOM,DOM,12907.152,True
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,SERC,SOUTH,DOM,DOM,12007.119,True
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,SERC,SOUTH,DOM,DOM,11385.741,True
1/2/2020 5:00:00 PM,1/2/2020 12:00:00 PM,SERC,SOUTH,DOM,DOM,11004.563,True
1/2/2020 6:00:00 PM,1/2/2020 1:00:00 PM,SERC,SOUTH,DOM,DOM,10891.750,True
1/2/2020 7:00:00 PM,1/2/2020 2:00:00 PM,SERC,SOUTH,DOM,DOM,10829.697,True
1/2/2020 8:00:00 PM,1/2/2020 3:00:00 PM,SERC,SOUTH,DOM,DOM,10832.304,True
1/2/2020 9:00:00 PM,1/2/2020 4:00:00 PM,SERC,SOUTH,DOM,DOM,11284.271,True
1/2/2020 10:00:00 PM,1/2/2020 5:00:00 PM,SERC,SOUTH,DOM,DOM,12095.282,True
1/2/2020 11:00:00 PM,1/2/2020 6:00:00 PM,SERC,SOUTH,DOM,DOM,12201.566,True
1/3/2020 12:00:00 AM,1/2/2020 7:00:00 PM,SERC,SOUTH,DOM,DOM,12015.748,True
1/3/2020 1:00:00 AM,1/2/2020 8:00:00 PM,SERC,SOUTH,DOM,DOM,11714.324,True
1/3/2020 2:00:00 AM,1/2/2020 9:00:00 PM,SERC,SOUTH,DOM,DOM,11215.402,True
1/3/2020 3:00:00 AM,1/2/2020 10:00:00 PM,SERC,SOUTH,DOM,DOM,10587.589,True
1/3/2020 4:00:00 AM,1/2/2020 11:00:00 PM,SERC,SOUTH,DOM,DOM,9988.478,True
1/3/2020 5:00:00 AM,1/3/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,9592.919,True
1/3/2020 6:00:00 AM,1/3/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,9419.656,True
1/3/2020 7:00:00 AM,1/3/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,9362.087,True
1/3/2020 8:00:00 AM,1/3/2020 3:00:00 AM,SERC,SOUTH,DOM,DOM,9484.265,True
1/3/2020 9:00:00 AM,1/3/2020 4:00:00 AM,SERC,SOUTH,DOM,DOM,9683.316,True
1/3/2020 10:00:00 AM,1/3/2020 5:00:00 AM,SERC,SOUTH,DOM,DOM,10248.286,True
1/3/2020 11:00:00 AM,1/3/2020 6:00:00 AM,SERC,SOUTH,DOM,DOM,11017.061,True
1/3/2020 12:00:00 PM,1/3/2020 7:00:00 AM,SERC,SOUTH,DOM,DOM,11386.407,True
1/3/2020 1:00:00 PM,1/3/2020 8:00:00 AM,SERC,SOUTH,DOM,DOM,11428.158,True
1/3/2020 2:00:00 PM,1/3/2020 9:00:00 AM,SERC,SOUTH,DOM,DOM,11371.190,True
1/3/2020 3:00:00 PM,1/3/2020 10:00:00 AM,SERC,SOUTH,DOM,DOM,11284.306,True
1/3/2020 4:00:00 PM,1/3/2020 11:00:00 AM,SERC,SOUTH,DOM,DOM,11238.305,True
1/3/2020 5:00:00 PM,1/3/2020 12:00:00 PM,SERC,SOUTH,DOM,DOM,11135.020,True
1/3/2020 6:00:00 PM,1/3/2020 1:00:00 PM,SERC,SOUTH,DOM,DOM,11020.557,True
1/3/2020 7:00:00 PM,1/3/2020 2:00:00 PM,SERC,SOUTH,DOM,DOM,10931.338,True
1/3/2020 8:00:00 PM,1/3/2020 3:00:00 PM,SERC,SOUTH,DOM,DOM,10966.509,True
1/3/2020 9:00:00 PM,1/3/2020 4:00:00 PM,SERC,SOUTH,DOM,DOM,11246.362,True
1/3/2020 10:00:00 PM,1/3/2020 5:00:00 PM,SERC,SOUTH,DOM,DOM,11668.889,True
1/3/2020 11:00:00 PM,1/3/2020 6:00:00 PM,SERC,SOUTH,DOM,DOM,11581.142,True
1/4/2020 12:00:00 AM,1/3/2020 7:00:00 PM,SERC,SOUTH,DOM,DOM,11272.092,True
1/4/2020 1:00:00 AM,1/3/2020 8:00:00 PM,SERC,SOUTH,DOM,DOM,10945.212,True
1/4/2020 2:00:00 AM,1/3/2020 9:00:00 PM,SERC,SOUTH,DOM,DOM,10509.190,True
1/4/2020 3:00:00 AM,1/3/2020 10:00:00 PM,SERC,SOUTH,DOM,DOM,10008.587,True
1/4/2020 4:00:00 AM,1/3/2020 11:00:00 PM,SERC,SOUTH,DOM,DOM,9483.555,True
1/4/2020 5:00:00 AM,1/4/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,9017.917,True
1/4/2020 6:00:00 AM,1/4/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,8713.393,True
1/4/2020 7:00:00 AM,1/4/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,8506.710,True
1/4/2020 8:00:00 AM,1/4/2020 3:00:00 AM,SERC,SOUTH,DOM,DOM,8541.523,True
1/4/2020 9:00:00 AM,1/4/2020 4:00:00 AM,SERC,SOUTH,DOM,DOM,8545.392,True
1/4/2020 10:00:00 AM,1/4/2020 5:00:00 AM,SERC,SOUTH,DOM,DOM,8704.328,True
1/4/2020 11:00:00 AM,1/4/2020 6:00:00 AM,SERC,SOUTH,DOM,DOM,9077.574,True
1/4/2020 12:00:00 PM,1/4/2020 7:00:00 AM,SERC,SOUTH,DOM,DOM,9433.854,True
1/4/2020 1:00:00 PM,1/4/2020 8:00:00 AM,SERC,SOUTH,DOM,DOM,9853.625,True
1/4/2020 2:00:00 PM,1/4/2020 9:00:00 AM,SERC,SOUTH,DOM,DOM,10239.678,True
1/4/2020 3:00:00 PM,1/4/2020 10:00:00 AM,SERC,SOUTH,DOM,DOM,10376.232,True
1/4/2020 4:00:00 PM,1/4/2020 11:00:00 AM,SERC,SOUTH,DOM,DOM,10356.237,True
1/4/2020 5:00:00 PM,1/4/2020 12:00:00 PM,SERC,SOUTH,DOM,DOM,10264.366,True
1/4/2020 6:00:00 PM,1/4/2020 1:00:00 PM,SERC,SOUTH,DOM,DOM,10103.343,True
1/4/2020 7:00:00 PM,1/4/2020 2:00:00 PM,SERC,SOUTH,DOM,DOM,9960.037,True
1/4/2020 8:00:00 PM,1/4/2020 3:00:00 PM,SERC,SOUTH,DOM,DOM,9936.244,True
1/4/2020 9:00:00 PM,1/4/2020 4:00:00 PM,SERC,SOUTH,DOM,DOM,10314.128,True
